State,Paddy,Wheat,Flour,Sugar Cane,Pineapple,January,Wheat,March,April,May,June,July,August,September,October,November,December,Total Yearly Sales
Andhra Pradesh,100,150,80,90,70,8,12,9,8,7,6,9,11,10,8,7,11,1200
Arunachal Pradesh,50,100,60,20,40,4,8,5,5,4,6,5,5,4,5,5,5,600
Assam,70,130,50,30,60,6,10,6,6,5,7,6,5,6,6,5,7,700
Bihar,80,90,70,50,30,7,10,5,8,6,5,6,7,8,6,9,7,800
Chhattisgarh,90,60,50,20,90,8,7,9,6,5,8,7,6,5,6,8,8,700
Goa,40,20,30,15,50,3,2,2,4,5,4,5,3,3,3,5,4,200
Gujarat,120,180,40,60,70,10,14,8,10,12,11,13,10,10,10,10,10,1500
Haryana,110,130,60,40,80,9,11,10,7,8,7,9,8,9,7,8,9,1300
Himachal Pradesh,30,60,80,20,40,4,5,4,5,6,4,5,4,5,4,5,4,300
Jharkhand,60,90,50,30,70,5,7,5,6,7,5,6,5,6,5,7,5,500
Karnataka,90,100,80,70,30,8,10,6,7,8,7,6,9,8,7,8,7,900
Kerala,70,80,100,60,50,6,8,5,7,6,5,8,6,5,7,6,6,800
Madhya Pradesh,130,140,70,80,40,10,11,10,8,9,8,7,9,8,7,8,9,1200
Maharashtra,100,150,80,90,70,9,12,8,8,9,7,9,8,9,8,8,8,1300
Manipur,50,70,30,20,40,5,6,3,4,3,5,4,5,3,3,4,5,400
Meghalaya,40,60,50,10,30,4,5,3,2,4,3,3,2,3,2,3,3,300
Mizoram,30,50,30,20,40,3,4,2,3,2,4,2,3,2,2,2,4,200
Nagaland,50,80,30,20,60,5,6,4,3,5,4,5,4,5,4,4,5,400
Odisha,90,70,60,80,30,7,9,6,7,8,8,7,8,8,7,7,8,800
Punjab,100,150,70,60,80,10,12,8,9,10,10,9,10,10,9,10,10,1300
Rajasthan,110,90,60,40,70,9,10,8,9,8,8,9,9,8,7,8,8,1100
Sikkim,20,30,40,10,20,2,2,2,2,2,3,2,2,2,2,2,2,200
Tamil Nadu,140,130,100,90,60,12,13,11,10,10,9,12,11,10,10,11,11,1400
Telangana,120,110,70,80,90,11,10,10,10,9,10,10,10,11,9,10,9,1200
Tripura,30,50,20,30,40,3,4,2,3,3,2,3,2,3,2,3,3,200
Uttar Pradesh,100,130,70,60,50,10,11,9,8,7,9,8,9,8,8,8,8,1100
Uttarakhand,80,70,60,50,40,7,8,6,5,6,5,7,6,5,6,5,5,600
West Bengal,100,120,80,70,60,10,12,9,8,9,8,9,8,9,8,9,10,1200
Delhi,110,130,90,80,70,10,11,8,9,10,9,10,9,10,10,9,10,1300
